--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
012.181  000.003  000.003: sourcing nvim_exec2() called at /Users/I569398/.config/nvim/init.lua:0
012.188  000.001  000.001: sourcing nvim_exec2() called at /Users/I569398/.config/nvim/init.lua:0
012.621  000.201  000.201: sourcing nvim_exec2() called at /opt/homebrew/Cellar/neovim/0.11.4/share/nvim/runtime/filetype.lua:0
012.623  000.254  000.053: sourcing /opt/homebrew/Cellar/neovim/0.11.4/share/nvim/runtime/filetype.lua
012.628  000.301  000.047: sourcing nvim_exec2() called at /Users/I569398/.config/nvim/init.lua:0
012.726  000.001  000.001: sourcing nvim_exec2() called at /Users/I569398/.config/nvim/init.lua:0
012.731  000.001  000.001: sourcing nvim_exec2() called at /Users/I569398/.config/nvim/init.lua:0
014.393  000.155  000.155: require('tokyonight.config')
014.394  000.565  000.410: require('tokyonight')
014.666  000.119  000.119: require('tokyonight.util')
014.668  000.237  000.117: require('tokyonight.theme')
014.855  000.095  000.095: require('tokyonight.colors')
015.190  000.102  000.102: require('tokyonight.hsluv')
015.505  000.110  000.110: require('tokyonight.groups')
016.147  000.107  000.107: require('tokyonight.groups.kinds')
022.815  009.027  007.811: sourcing /Users/I569398/.local/share/nvim/lazy/tokyonight.nvim/colors/tokyonight-storm.lua
022.825  010.088  001.061: sourcing nvim_exec2() called at /Users/I569398/.config/nvim/init.lua:0
022.863  000.004  000.004: sourcing nvim_exec2() called at /Users/I569398/.config/nvim/init.lua:0
022.871  000.001  000.001: sourcing nvim_exec2() called at /Users/I569398/.config/nvim/init.lua:0
023.681  000.074  000.074: require('octo.model.body-metadata')
023.746  000.064  000.064: require('octo.model.title-metadata')
023.988  000.149  000.149: require('octo.config')
023.996  000.248  000.099: require('octo.autocmds')
024.092  000.095  000.095: require('octo.constants')
024.158  000.065  000.065: require('octo.folds')
024.327  000.086  000.086: require('octo.gh.fragments')
024.772  000.021  000.021: sourcing /Users/I569398/.local/share/nvim/lazy/plenary.nvim/plugin/plenary.vim
024.778  000.073  000.052: sourcing nvim_exec2() called at /Users/I569398/.config/nvim/init.lua:0
024.782  000.001  000.001: sourcing nvim_exec2() called at /Users/I569398/.config/nvim/init.lua:0
024.810  000.001  000.001: sourcing nvim_exec2() called at /Users/I569398/.config/nvim/init.lua:0
025.165  000.302  000.302: require('plenary.compat')
025.252  000.086  000.086: require('plenary.functional')
